request_text,language,clusters,score_agree,score_are_you_robot,score_card_blocking,score_cant_pay_by_card,score_account_transfer
"Я согласен с условиями, продолжайте",ru,general_rus,0.85,0.02,0.0,0.0,0.01
"Вы бот или живой человек?",ru,general_rus,0.01,0.91,0.0,0.0,0.0
"Хочу заблокировать свою карту срочно",ru,restrictions_rus,0.0,0.0,0.88,0.05,0.0
"Не могу оплатить покупку картой",ru,restrictions_rus,0.0,0.0,0.03,0.82,0.0
"Переведите деньги на другой счёт",ru,money_transfers_rus,0.0,0.0,0.0,0.01,0.79
"Какая сегодня погода в Алматы?",ru,,0.0,0.0,0.0,0.0,0.0
"Расскажите анекдот про банкиров",ru,,0.0,0.0,0.0,0.0,0.0
"Сколько звёзд на небе?",ru,,0.0,0.0,0.0,0.0,0.0
"Кто выиграл чемпионат мира?",ru,,0.0,0.0,0.0,0.0,0.0
"Когда наступит лето?",ru,,0.0,0.0,0.0,0.0,0.0
